54.8279,-16.8593,-52.6655
55.7093,-17.3917,-54.5403
61.1745,-15.0847,-46.1888
57.4723,-17.7467,-56.5856
52.8886,-16.3269,-59.9943
52.8886,-16.3269,-59.9943
47.5998,-11.7128,-58.2899
46.8946,-10.648,-55.5629
48.1286,-12.2452,-55.0516
51.4783,-13.8424,-56.9264
51.4783,-13.8424,-56.9264
54.8279,-15.4396,-59.1421
60.293,-20.2312,-63.4031
70.8708,-22.3608,-73.2885
82.1537,-19.1664,-79.4243
99.4306,-14.1973,-82.1513
99.4306,-14.1973,-82.1513
104.896,-12.6001,-73.1181
107.54,-14.1973,-63.744
102.78,-15.4396,-56.756
101.546,-15.2621,-52.8359
98.5491,-16.5044,-49.9385
98.5491,-16.5044,-49.9385
94.4943,-17.3917,-47.3819
92.9077,-13.6649,-40.7348
90.2632,-5.67894,-33.7468
83.0351,1.95213,-25.7362
74.3967,6.74374,-25.5658
65.5819,7.45361,-24.5431
65.5819,7.45361,-24.5431
58.5301,0.354934,-32.3833
59.059,-17.9241,-49.5976
55.3568,-16.3269,-69.5389
50.7731,-9.58321,-74.9929
44.0738,-6.74374,-68.8571
44.0738,-6.74374,-68.8571
46.542,-8.16347,-54.5403
58.8827,-17.0368,-52.1542
69.1078,-22.7158,-68.1754
91.4973,-14.3748,-90.5028
115.65,2.83947,-81.4696
114.063,-7.98601,-62.5509
96.9625,-16.3269,-50.7906
78.804,-21.4735,-57.0969
80.2144,-20.7636,-75.8451
80.2144,-20.7636,-75.8451
97.3151,-3.90427,-96.4681
101.37,15.4396,-98.6838
87.6188,28.5722,-101.07
62.7612,27.6848,-97.8316
56.7671,17.7467,-98.1725
59.2353,-3.1944,-94.082
59.2353,-3.1944,-94.082
59.059,-14.0199,-83.6853
53.5938,-16.6819,-60.6761
58.7064,-13.31,-42.78
68.9315,-20.4087,-50.2793
82.6825,-24.313,-65.2779
82.6825,-24.313,-65.2779
99.4306,-19.5213,-63.4031
98.0202,-19.8763,-53.8585
91.1447,-18.9889,-48.2341
85.5033,-14.0199,-37.326
78.9803,-1.0648,-27.611
78.9803,-1.0648,-27.611
68.5789,11.1804,-24.7136
56.9434,9.76068,-29.145
56.7671,-4.61414,-38.5191
57.296,-21.4735,-64.2553
58.3538,-12.9551,-85.3896
58.3538,-12.9551,-85.3896
